date,spot,domestic_rate,foreign_rate,volatility
2022-04-22,1.0835175514221191,0.0189,0.0156824814264862,0.07566147080278529
2022-04-25,1.0811045169830322,0.0189,0.0156824814264862,0.07558139023876052
2022-04-26,1.0714209079742432,0.0189,0.0156824814264862,0.08058158407974798
2022-04-27,1.0643619298934937,0.0189,0.0156824814264862,0.07313499854085824
2022-04-28,1.0555092096328735,0.0189,0.0156824814264862,0.06927710745749635
2022-04-29,1.0504201650619507,0.0189,0.0156824814264862,0.06694357096290808
2022-05-02,1.0535964965820312,0.0189,0.0156824814264862,0.06989268478140398
2022-05-03,1.0509058237075806,0.0189,0.0156824814264862,0.06819450546045935
2022-05-04,1.0528532266616821,0.0189,0.0156824814264862,0.06774801251247864
2022-05-05,1.0622477531433105,0.0189,0.0156824814264862,0.0775759600356685
2022-05-06,1.0539740324020386,0.0189,0.0156824814264862,0.08079374175848983
2022-05-09,1.053219199180603,0.0189,0.0156824814264862,0.07988351741554228
2022-05-10,1.056579828262329,0.0189,0.0156824814264862,0.08165814933054565
2022-05-11,1.0532968044281006,0.0189,0.0156824814264862,0.0809721985028057
2022-05-12,1.05124831199646,0.0189,0.0156824814264862,0.07546520091576127
2022-05-13,1.0379581451416016,0.0189,0.0156824814264862,0.08308476492933543
2022-05-16,1.0400632619857788,0.0189,0.0156824814264862,0.0842060376607464
2022-05-17,1.0438958406448364,0.0189,0.0156824814264862,0.08639227822073675
2022-05-18,1.0547856092453003,0.0189,0.0156824814264862,0.09597886750211156
2022-05-19,1.0472739934921265,0.0189,0.0156824814264862,0.09521610823633639
2022-05-20,1.057898759841919,0.0189,0.0156824814264862,0.10413172499532515
2022-05-23,1.0569819211959839,0.0189,0.0156824814264862,0.10406472877748585
2022-05-24,1.0682048797607422,0.0189,0.0156824814264862,0.10755003620686251
2022-05-25,1.0736525058746338,0.0189,0.0156824814264862,0.1062382933151119
2022-05-26,1.0686614513397217,0.0189,0.0156824814264862,0.10294513364226916
2022-05-27,1.0732953548431396,0.0189,0.0156824814264862,0.10163713171325871
2022-05-30,1.0731456279754639,0.0189,0.0156824814264862,0.10145489716767357
2022-05-31,1.0773539543151855,0.0189,0.0156824814264862,0.10111372691752002
2022-06-01,1.0734105110168457,0.0265,0.024373132237915696,0.1025602337816148
2022-06-02,1.0654165744781494,0.0265,0.024373132237915696,0.10225042310318445
2022-06-03,1.0751069784164429,0.0265,0.024373132237915696,0.10235255768183446
2022-06-06,1.0726046562194824,0.0265,0.024373132237915696,0.10286895191346074
2022-06-07,1.0691413879394531,0.0265,0.024373132237915696,0.10350893924885132
2022-06-08,1.0698620080947876,0.0265,0.024373132237915696,0.10258079817658033
2022-06-09,1.071765422821045,0.0265,0.024373132237915696,0.10211848371451432
2022-06-10,1.0619205236434937,0.0265,0.024373132237915696,0.09650408810451533
2022-06-13,1.0489987134933472,0.0265,0.024373132237915696,0.10744085160345117
2022-06-14,1.0415147542953491,0.0265,0.024373132237915696,0.10995047533256727
2022-06-15,1.0440592765808105,0.0265,0.024373132237915696,0.10331419728016474
2022-06-16,1.0456204414367676,0.0265,0.024373132237915696,0.10046688627147062
2022-06-17,1.0546854734420776,0.0265,0.024373132237915696,0.09862062276372557
2022-06-20,1.049141764640808,0.0265,0.024373132237915696,0.1002686848547073
2022-06-21,1.0520778894424438,0.0265,0.024373132237915696,0.09252632544560689
2022-06-22,1.053263545036316,0.0265,0.024373132237915696,0.09024655014928688
2022-06-23,1.0564124584197998,0.0265,0.024373132237915696,0.09016829759957651
2022-06-24,1.052011489868164,0.0265,0.024373132237915696,0.08908001868375125
2022-06-27,1.0566133260726929,0.0265,0.024373132237915696,0.09107072580177993
2022-06-28,1.0580891370773315,0.0265,0.024373132237915696,0.08978026339096246
2022-06-29,1.0523545742034912,0.0265,0.024373132237915696,0.0907165047855236
2022-06-30,1.04465913772583,0.0265,0.024373132237915696,0.09058909337115759
2022-07-01,1.0477677583694458,0.0302,0.020925114710835694,0.0839814511877226
2022-07-04,1.0433948040008545,0.0302,0.020925114710835694,0.08454178801264373
2022-07-05,1.0433186292648315,0.0302,0.020925114710835694,0.0843670219632412
2022-07-06,1.0257673263549805,0.0302,0.020925114710835694,0.10075226628101505
2022-07-07,1.0186411142349243,0.0302,0.020925114710835694,0.10106710706187638
2022-07-08,1.0169836282730103,0.0302,0.020925114710835694,0.09795092539221258
2022-07-11,1.0166114568710327,0.0302,0.020925114710835694,0.09053012580237724
2022-07-12,1.004752516746521,0.0302,0.020925114710835694,0.09559147207738614
2022-07-13,1.0033109188079834,0.0302,0.020925114710835694,0.09429426212914485
2022-07-14,1.0032706260681152,0.0302,0.020925114710835694,0.09369761202276983
2022-07-15,1.0025665760040283,0.0302,0.020925114710835694,0.08501677380490535
2022-07-18,1.009631872177124,0.0302,0.020925114710835694,0.09077233559086906
2022-07-19,1.0145177841186523,0.0302,0.020925114710835694,0.09244404331982249
2022-07-20,1.0231330394744873,0.0302,0.020925114710835694,0.09897099404389204
2022-07-21,1.0182781219482422,0.0302,0.020925114710835694,0.0981802713996644
2022-07-22,1.0221081972122192,0.0302,0.020925114710835694,0.09970005966584651
2022-07-25,1.0200231075286865,0.0302,0.020925114710835694,0.0973163305997657
2022-07-26,1.022494912147522,0.0302,0.020925114710835694,0.09782394258718444
2022-07-27,1.0129557847976685,0.0302,0.020925114710835694,0.10076705688849254
2022-07-28,1.0209290981292725,0.0302,0.020925114710835694,0.10426077894052017
2022-07-29,1.0192328691482544,0.0302,0.020925114710835694,0.10312331224019745
2022-08-01,1.0208247900009155,0.032799999999999996,0.020582232138558202,0.10306877152555649
2022-08-02,1.0261356830596924,0.032799999999999996,0.020582232138558202,0.10542529573776654
2022-08-03,1.015568733215332,0.032799999999999996,0.020582232138558202,0.09399301952223069
2022-08-04,1.015764594078064,0.032799999999999996,0.020582232138558202,0.09083769132492667
2022-08-05,1.024779200553894,0.032799999999999996,0.020582232138558202,0.09601229857275984
2022-08-08,1.0170871019363403,0.032799999999999996,0.020582232138558202,0.10004011244211188
2022-08-09,1.0197629928588867,0.032799999999999996,0.020582232138558202,0.09015446049019407
2022-08-10,1.0208144187927246,0.032799999999999996,0.020582232138558202,0.08978879548482793
2022-08-11,1.0300782918930054,0.032799999999999996,0.020582232138558202,0.09424281447103004
2022-08-12,1.0316723585128784,0.032799999999999996,0.020582232138558202,0.09394093794254205
2022-08-15,1.0256409645080566,0.032799999999999996,0.020582232138558202,0.09489881687133538
2022-08-16,1.0161981582641602,0.032799999999999996,0.020582232138558202,0.09996831038329408
2022-08-17,1.0170663595199585,0.032799999999999996,0.020582232138558202,0.09504369058366453
2022-08-18,1.0180189609527588,0.032799999999999996,0.020582232138558202,0.09363907956227308
2022-08-19,1.0089900493621826,0.032799999999999996,0.020582232138558202,0.09758764284355313
2022-08-22,1.0035223960876465,0.032799999999999996,0.020582232138558202,0.09896411736901636
2022-08-23,0.9939467906951904,0.032799999999999996,0.020582232138558202,0.10285940518737516
2022-08-24,0.9966909885406494,0.032799999999999996,0.020582232138558202,0.09936627742915809
2022-08-25,0.9969095587730408,0.032799999999999996,0.020582232138558202,0.09411067473711614
2022-08-26,0.9971283078193665,0.032799999999999996,0.020582232138558202,0.0942224562200677
2022-08-29,0.993867814540863,0.032799999999999996,0.020582232138558202,0.09397713631897879
2022-08-30,1.0014019012451172,0.032799999999999996,0.020582232138558202,0.09649441705347797
2022-08-31,1.0025062561035156,0.032799999999999996,0.020582232138558202,0.09049763562234663
2022-09-01,1.003905177116394,0.038900000000000004,0.0281375186630484,0.09074576110376545
2022-09-02,0.995232880115509,0.038900000000000004,0.0281375186630484,0.0878727908412276
2022-09-05,0.9909427762031555,0.038900000000000004,0.0281375186630484,0.08563939945977529
2022-09-06,0.9952229857444763,0.038900000000000004,0.0281375186630484,0.08686287787129937
2022-09-07,0.9897951483726501,0.038900000000000004,0.0281375186630484,0.08769127486725212
2022-09-08,0.9995701909065247,0.038900000000000004,0.0281375186630484,0.08899590304383706
2022-09-09,1.0012015104293823,0.038900000000000004,0.0281375186630484,0.08903474147806008
2022-09-12,1.0071406364440918,0.038900000000000004,0.0281375186630484,0.0911674367771983
2022-09-13,1.0129557847976685,0.038900000000000004,0.0281375186630484,0.08848392793027939
2022-09-14,0.9982032775878906,0.038900000000000004,0.0281375186630484,0.10221936040521178
2022-09-15,0.9984025359153748,0.038900000000000004,0.0281375186630484,0.1020737625891862
2022-09-16,0.9988313317298889,0.038900000000000004,0.0281375186630484,0.09773450185975847
2022-09-19,1.002234935760498,0.038900000000000004,0.0281375186630484,0.09685421218145003
2022-09-20,1.0029587745666504,0.038900000000000004,0.0281375186630484,0.09008599836712712
2022-09-21,0.997078537940979,0.038900000000000004,0.0281375186630484,0.09234273172383713
2022-09-22,0.983071506023407,0.038900000000000004,0.0281375186630484,0.10512744916246333
2022-09-23,0.9841550588607788,0.038900000000000004,0.0281375186630484,0.10527619311313197
2022-09-26,0.968992292881012,0.038900000000000004,0.0281375186630484,0.11758385112507397
2022-09-27,0.9623712301254272,0.038900000000000004,0.0281375186630484,0.11432833333066396
2022-09-28,0.9596191644668579,0.038900000000000004,0.0281375186630484,0.11377203726523058
2022-09-29,0.9708172082901001,0.038900000000000004,0.0281375186630484,0.12339495400671778
2022-09-30,0.9829555749893188,0.038900000000000004,0.0281375186630484,0.13007095049476
2022-10-03,0.9792688488960266,0.038900000000000004,0.0281375186630484,0.12987401841067328
2022-10-04,0.9832068681716919,0.038900000000000004,0.0281375186630484,0.129729658222328
2022-10-05,0.998432457447052,0.038900000000000004,0.0281375186630484,0.14004610146465113
2022-10-06,0.9910998940467834,0.038900000000000004,0.0281375186630484,0.13803865068595597
2022-10-07,0.9789045453071594,0.038900000000000004,0.0281375186630484,0.14409792045809824
2022-10-10,0.9735012650489807,0.038900000000000004,0.0281375186630484,0.14239959019779633
2022-10-11,0.9710057377815247,0.038900000000000004,0.0281375186630484,0.13965811155480043
2022-10-12,0.9700167775154114,0.038900000000000004,0.0281375186630484,0.13155110044562565
2022-10-13,0.9707984328269958,0.038900000000000004,0.0281375186630484,0.13166830957380812
2022-10-14,0.975134015083313,0.038900000000000004,0.0281375186630484,0.13317823925337982
2022-10-17,0.973937451839447,0.038900000000000004,0.0281375186630484,0.132065532913442
